Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
butylacetate;butylbenzene;CCCCOC(C)=O;CCCCC1=CC=CC=C1;-5.28
methylhexanoate;butylbenzene;CCCCCC(=O)OC;CCCCC1=CC=CC=C1;-6.09
butylbenzene;butylbenzene;CCCCC1=CC=CC=C1;CCCCC1=CC=CC=C1;-6.86
n-octane;carbondisulfide;CCCCCCCC;C(=S)=S;-5.68
toluene;carbondisulfide;CC1=CC=CC=C1;C(=S)=S;-5.39
ethanol;carbondisulfide;CCO;C(=S)=S;-2.72
phenol;carbondisulfide;C1=CC=C(C=C1)O;C(=S)=S;-6.27
"1;4-dioxane";carbondisulfide;C1COCCO1;C(=S)=S;-4.67
acetone;carbondisulfide;CC(=O)C;C(=S)=S;-3.14
2-butanone;carbondisulfide;CCC(=O)C;C(=S)=S;-3.85
aceticacid;carbondisulfide;CC(O)=O;C(=S)=S;-2.98
methylacetate;carbondisulfide;COC(C)=O;C(=S)=S;-3.67
ethylacetate;carbondisulfide;CCOC(=O)C;C(=S)=S;-4.08
propylacetate;carbondisulfide;CCCOC(C)=O;C(=S)=S;-4.63
1-nitropropane;carbondisulfide;CCC[N+](=O)[O-];C(=S)=S;-4.5
nitromethane;carbondisulfide;C[N+](=O)[O-];C(=S)=S;-3.3
carbondisulfide;carbondisulfide;C(=S)=S;C(=S)=S;-3.95
hydrogenperoxide;carbondisulfide;OO;C(=S)=S;-3.14
n-octane;chlorobenzene;CCCCCCCC;C1=CC=C(C=C1)Cl;-5.16
toluene;chlorobenzene;CC1=CC=CC=C1;C1=CC=C(C=C1)Cl;-5.18
methanol;chlorobenzene;CO;C1=CC=C(C=C1)Cl;-2.44
ethanol;chlorobenzene;CCO;C1=CC=C(C=C1)Cl;-3.3
1-propanol;chlorobenzene;CCCO;C1=CC=C(C=C1)Cl;-3.82
1-butanol;chlorobenzene;CCCCO;C1=CC=C(C=C1)Cl;-4.31
1-pentanol;chlorobenzene;CCCCCO;C1=CC=C(C=C1)Cl;-5.25
phenol;chlorobenzene;C1=CC=C(C=C1)O;C1=CC=C(C=C1)Cl;-6.96
1-hexanol;chlorobenzene;CCCCCCO;C1=CC=C(C=C1)Cl;-5.98
o-cresol;chlorobenzene;CC1=CC=CC=C1O;C1=CC=C(C=C1)Cl;-7.33
p-cresol;chlorobenzene;CC1=CC=C(C=C1)O;C1=CC=C(C=C1)Cl;-7.23
1-heptanol;chlorobenzene;CCCCCCCO;C1=CC=C(C=C1)Cl;-6.78
"1;4-dioxane";chlorobenzene;C1COCCO1;C1=CC=C(C=C1)Cl;-5.08
acetone;chlorobenzene;CC(=O)C;C1=CC=C(C=C1)Cl;-3.86
2-butanone;chlorobenzene;CCC(=O)C;C1=CC=C(C=C1)Cl;-4.47
2-pentanone;chlorobenzene;CCCC(=O)C;C1=CC=C(C=C1)Cl;-5.29
2-hexanone;chlorobenzene;CCCCC(=O)C;C1=CC=C(C=C1)Cl;-5.84
"3;3-dimethylbutanone";chlorobenzene;CC(=O)C(C)(C)C;C1=CC=C(C=C1)Cl;-5.25
2-heptanone;chlorobenzene;CCCCCC(=O)C;C1=CC=C(C=C1)Cl;-6.46
propanoicacid;chlorobenzene;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;C1=CC=C(C=C1)Cl;-4.38
methylacetate;chlorobenzene;COC(C)=O;C1=CC=C(C=C1)Cl;-4
methylpropanoate;chlorobenzene;CCC(=O)OC;C1=CC=C(C=C1)Cl;-4.55
ethylacetate;chlorobenzene;CCOC(=O)C;C1=CC=C(C=C1)Cl;-4.63
propylacetate;chlorobenzene;CCCOC(C)=O;C1=CC=C(C=C1)Cl;-5.15
methylpentanoate;chlorobenzene;CCCCC(=O)OC;C1=CC=C(C=C1)Cl;-5.83
butylacetate;chlorobenzene;CCCCOC(C)=O;C1=CC=C(C=C1)Cl;-5.74
pentylacetate;chlorobenzene;CCCCCOC(C)=O;C1=CC=C(C=C1)Cl;-6.49
ethylamine;chlorobenzene;CCN;C1=CC=C(C=C1)Cl;-2.73
dimethylamine;chlorobenzene;CNC;C1=CC=C(C=C1)Cl;-2.75
propylamine;chlorobenzene;CCCN;C1=CC=C(C=C1)Cl;-3.59
trimethylamine;chlorobenzene;CN(C)C;C1=CC=C(C=C1)Cl;-2.82
aniline;chlorobenzene;C1=CC=C(C=C1)N;C1=CC=C(C=C1)Cl;-6.72
chlorobenzene;chlorobenzene;C1=CC=C(C=C1)Cl;C1=CC=C(C=C1)Cl;-5.66
p-bromophenol;chlorobenzene;C1=CC(=CC=C1O)Br;C1=CC=C(C=C1)Cl;-8.54
ammonia;chlorobenzene;N;C1=CC=C(C=C1)Cl;-1.22
methylamine;chlorobenzene;CN;C1=CC=C(C=C1)Cl;-2.16
nitromethane;chlorobenzene;C[N+](=O)[O-];C1=CC=C(C=C1)Cl;-4.32
4-methylaniline;chlorobenzene;CC1=CC=C(C=C1)N;C1=CC=C(C=C1)Cl;-7.54
n-octane;chloroform;CCCCCCCC;C(Cl)(Cl)Cl;-5.25
cyclohexane;chloroform;C1CCCCC1;C(Cl)(Cl)Cl;-4.45
benzene;chloroform;C1=CC=CC=C1;C(Cl)(Cl)Cl;-4.64
toluene;chloroform;CC1=CC=CC=C1;C(Cl)(Cl)Cl;-5.48
ethylbenzene;chloroform;CCC1=CC=CC=C1;C(Cl)(Cl)Cl;-5.84
o-xylene;chloroform;CC1=CC=CC=C1C;C(Cl)(Cl)Cl;-6.23
m-xylene;chloroform;CC1=CC(=CC=C1)C;C(Cl)(Cl)Cl;-5.86
naphthalene;chloroform;C1=CC=C2C=CC=CC2=C1;C(Cl)(Cl)Cl;-7.89
methanol;chloroform;CO;C(Cl)(Cl)Cl;-3.32
ethanol;chloroform;CCO;C(Cl)(Cl)Cl;-3.94
"1;2-ethanediol";chloroform;C(CO)O;C(Cl)(Cl)Cl;-5.98
1-propanol;chloroform;CCCO;C(Cl)(Cl)Cl;-4.41
isopropanol;chloroform;CC(C)O;C(Cl)(Cl)Cl;-4.28
1-butanol;chloroform;CCCCO;C(Cl)(Cl)Cl;-5.28
t-butanol;chloroform;CC(C)(C)O;C(Cl)(Cl)Cl;-4.48
1-pentanol;chloroform;CCCCCO;C(Cl)(Cl)Cl;-5.9
phenol;chloroform;C1=CC=C(C=C1)O;C(Cl)(Cl)Cl;-7.14
